epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1887.23,1.0334,0.95166,1.382,0.8688,0.78963,0.88224,0.57849,1.12788,0.86524,1.40173,0.006535,0.006535,0.006535
44,1929.88,1.0214,0.93924,1.37429,0.85487,0.78967,0.8784,0.58158,1.08876,0.87951,1.37382,0.0064525,0.0064525,0.0064525
45,1972.46,1.02966,0.94649,1.38159,0.87694,0.8,0.89644,0.59044,1.11526,0.84914,1.38963,0.00637,0.00637,0.00637
46,2015.19,1.02337,0.93924,1.37589,0.85104,0.79933,0.88459,0.5911,1.07552,0.84928,1.35933,0.0062875,0.0062875,0.0062875
47,2059.68,1.02023,0.92647,1.37048,0.86107,0.79437,0.88407,0.57493,1.12807,0.86911,1.40889,0.006205,0.006205,0.006205
48,2105.47,1.02195,0.92008,1.37203,0.84032,0.79624,0.87305,0.58217,1.10414,0.86632,1.39939,0.0061225,0.0061225,0.0061225
49,2148.06,1.00948,0.92413,1.36797,0.86214,0.83286,0.89824,0.58291,1.12981,0.8493,1.41474,0.00604,0.00604,0.00604
50,2190.49,1.02426,0.91693,1.37226,0.87682,0.80872,0.89441,0.60059,1.08175,0.82921,1.37146,0.0059575,0.0059575,0.0059575
51,2233.06,1.00936,0.9197,1.36457,0.85018,0.83756,0.90087,0.60499,1.06645,0.80214,1.35362,0.005875,0.005875,0.005875
52,2275.63,1.01242,0.92242,1.36332,0.88207,0.81466,0.90623,0.61214,1.05311,0.79921,1.34566,0.0057925,0.0057925,0.0057925
53,2318.33,1.00922,0.91118,1.36973,0.89017,0.79343,0.90152,0.6039,1.0589,0.80627,1.35836,0.00571,0.00571,0.00571
54,2360.89,1.00603,0.90771,1.36071,0.88019,0.80751,0.90079,0.60537,1.07608,0.81679,1.37323,0.0056275,0.0056275,0.0056275
55,2403.91,0.99828,0.89529,1.35625,0.88035,0.8498,0.91429,0.61384,1.06661,0.79774,1.34566,0.005545,0.005545,0.005545
56,2447.62,0.99399,0.90699,1.35457,0.83233,0.84319,0.89985,0.61842,1.05766,0.79334,1.34406,0.0054625,0.0054625,0.0054625
57,2491.48,0.99551,0.88731,1.35461,0.85765,0.8429,0.90826,0.60835,1.0808,0.78713,1.37256,0.00538,0.00538,0.00538
58,2534.04,0.98736,0.88766,1.3495,0.89376,0.8215,0.91213,0.60691,1.08704,0.77795,1.36519,0.0052975,0.0052975,0.0052975
59,2576.32,0.99772,0.89442,1.35536,0.87315,0.83756,0.90688,0.61433,1.04477,0.7996,1.35226,0.005215,0.005215,0.005215
60,2618.69,0.97846,0.87186,1.34676,0.88618,0.83944,0.9158,0.62701,1.04386,0.75193,1.34102,0.0051325,0.0051325,0.0051325
61,2661.12,0.97848,0.87583,1.34478,0.87977,0.84511,0.91837,0.62331,1.06268,0.7574,1.35016,0.00505,0.00505,0.00505
62,2703.51,0.97449,0.86746,1.34363,0.89506,0.82535,0.91745,0.62721,1.05409,0.75199,1.34856,0.0049675,0.0049675,0.0049675
63,2745.88,0.97826,0.87283,1.34454,0.88399,0.82911,0.91459,0.62535,1.06525,0.75416,1.35954,0.004885,0.004885,0.004885
64,2788.23,0.96872,0.85881,1.33356,0.87961,0.85752,0.91711,0.6296,1.05641,0.76271,1.35125,0.0048025,0.0048025,0.0048025
65,2830.56,0.96529,0.85861,1.33069,0.88081,0.85349,0.92044,0.63591,1.03511,0.74806,1.33092,0.00472,0.00472,0.00472
66,2872.91,0.96961,0.86103,1.33983,0.87966,0.84977,0.91643,0.62524,1.03776,0.74953,1.33702,0.0046375,0.0046375,0.0046375
67,2915.38,0.97387,0.86873,1.3366,0.88156,0.8526,0.92429,0.63823,1.02705,0.73469,1.32819,0.004555,0.004555,0.004555
68,2957.75,0.96326,0.86368,1.33481,0.8923,0.85446,0.9249,0.63678,1.01544,0.72547,1.31802,0.0044725,0.0044725,0.0044725
69,3000.01,0.95238,0.84058,1.329,0.89361,0.8507,0.92575,0.63933,1.03043,0.72361,1.32244,0.00439,0.00439,0.00439
70,3042.49,0.9604,0.85441,1.33046,0.87867,0.86364,0.92742,0.64583,1.0188,0.72091,1.31587,0.0043075,0.0043075,0.0043075
71,3084.87,0.95578,0.85045,1.32916,0.90085,0.85728,0.92912,0.65025,1.00817,0.71444,1.31114,0.004225,0.004225,0.004225
72,3127.28,0.94649,0.83421,1.3198,0.89637,0.86479,0.9328,0.64494,1.00149,0.70155,1.30829,0.0041425,0.0041425,0.0041425
73,3169.83,0.94268,0.83896,1.32536,0.89177,0.86103,0.92751,0.6445,1.00226,0.71229,1.30088,0.00406,0.00406,0.00406
74,3212.59,0.95064,0.84179,1.32294,0.86593,0.87512,0.92337,0.64159,1.01454,0.70291,1.31277,0.0039775,0.0039775,0.0039775
75,3255,0.95267,0.83765,1.32058,0.87356,0.86854,0.92571,0.64946,1.00017,0.70186,1.30024,0.003895,0.003895,0.003895
76,3297.99,0.93332,0.8166,1.31392,0.9011,0.85551,0.92611,0.64732,1.005,0.71354,1.30505,0.0038125,0.0038125,0.0038125
77,3343.07,0.93422,0.82902,1.30711,0.90708,0.85258,0.92649,0.64824,0.99264,0.70996,1.29218,0.00373,0.00373,0.00373
78,3385.68,0.93039,0.81614,1.30558,0.89826,0.86103,0.92742,0.64949,0.99399,0.70716,1.29744,0.0036475,0.0036475,0.0036475
79,3429.27,0.9361,0.80865,1.31375,0.91194,0.86479,0.93277,0.65058,0.9966,0.69405,1.29925,0.003565,0.003565,0.003565
80,3473.02,0.92859,0.80791,1.30878,0.90069,0.86479,0.92984,0.65544,0.99446,0.68799,1.29656,0.0034825,0.0034825,0.0034825
81,3516.3,0.9376,0.8139,1.31016,0.9093,0.85667,0.93098,0.65184,0.99753,0.68352,1.29601,0.0034,0.0034,0.0034
82,3558.88,0.92208,0.80632,1.30505,0.90007,0.87107,0.93126,0.64881,0.99275,0.68207,1.2956,0.0033175,0.0033175,0.0033175
83,3603.67,0.92162,0.80991,1.3025,0.89795,0.86291,0.93099,0.65297,0.9909,0.68632,1.2974,0.003235,0.003235,0.003235
84,3647.51,0.90905,0.79017,1.29782,0.90628,0.86197,0.93295,0.65263,0.98847,0.68802,1.29479,0.0031525,0.0031525,0.0031525
85,3689.86,0.91988,0.80283,1.30106,0.89764,0.86948,0.92937,0.65603,0.98634,0.67814,1.28702,0.00307,0.00307,0.00307
86,3732.17,0.90654,0.78544,1.29356,0.90193,0.86009,0.93178,0.65569,0.98205,0.67864,1.28358,0.0029875,0.0029875,0.0029875
87,3774.56,0.90508,0.79181,1.29008,0.89252,0.87042,0.93152,0.65628,0.97888,0.67375,1.27857,0.002905,0.002905,0.002905
