epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7159.38,1.14387,1.03574,1.51708,0.79018,0.75566,0.81275,0.49873,1.35879,1.035,1.52874,0.005842,0.005842,0.005842
44,7326.02,1.12766,1.03363,1.50953,0.80236,0.74293,0.80584,0.50535,1.35926,1.02393,1.55562,0.005743,0.005743,0.005743
45,7495.96,1.12774,1.02218,1.50764,0.77698,0.78565,0.82527,0.50978,1.34771,1.01454,1.56373,0.005644,0.005644,0.005644
46,7665.94,1.13397,1.02579,1.50278,0.80783,0.77734,0.81604,0.50037,1.37948,1.0319,1.58147,0.005545,0.005545,0.005545
47,7833.79,1.14215,1.02211,1.50325,0.77126,0.76293,0.79614,0.503,1.39764,1.02595,1.63798,0.005446,0.005446,0.005446
48,8006.5,1.10919,0.99276,1.50144,0.80114,0.77609,0.82516,0.51626,1.33472,0.96722,1.53437,0.005347,0.005347,0.005347
49,8137.82,1.10282,0.97873,1.48652,0.79993,0.79067,0.82825,0.52484,1.31299,0.98726,1.50171,0.005248,0.005248,0.005248
50,8278.83,1.11787,1.00246,1.49264,0.8155,0.77367,0.8429,0.52978,1.31861,0.93846,1.51145,0.005149,0.005149,0.005149
51,8445.94,1.10852,0.97346,1.47424,0.83836,0.79729,0.85625,0.54046,1.32545,0.89809,1.50875,0.00505,0.00505,0.00505
52,8615.77,1.09951,0.95725,1.47038,0.78002,0.79721,0.83166,0.52331,1.32052,0.92383,1.52942,0.004951,0.004951,0.004951
53,8784.74,1.09542,0.97119,1.46406,0.82742,0.80751,0.84998,0.54038,1.29256,0.90091,1.48209,0.004852,0.004852,0.004852
54,8963.59,1.08333,0.95337,1.48429,0.78215,0.79662,0.84025,0.53619,1.33137,0.93337,1.52753,0.004753,0.004753,0.004753
55,9132,1.07574,0.95109,1.45972,0.80882,0.80303,0.84578,0.54432,1.2898,0.8835,1.49255,0.004654,0.004654,0.004654
56,9299.28,1.07649,0.93596,1.44892,0.82319,0.79835,0.85134,0.54542,1.29161,0.90328,1.4854,0.004555,0.004555,0.004555
57,9465.34,1.10354,0.95179,1.4799,0.82128,0.80453,0.84939,0.54558,1.30039,0.87233,1.50509,0.004456,0.004456,0.004456
58,9631.59,1.08342,0.93305,1.46147,0.83257,0.79991,0.85341,0.54239,1.29945,0.89277,1.51009,0.004357,0.004357,0.004357
59,9796.46,1.04611,0.90985,1.43696,0.82439,0.81521,0.84904,0.54581,1.26901,0.87007,1.48062,0.004258,0.004258,0.004258
60,9959.95,1.07688,0.93433,1.46884,0.81867,0.81786,0.85457,0.55483,1.26565,0.89199,1.47333,0.004159,0.004159,0.004159
61,10126.1,1.05493,0.89879,1.4373,0.82186,0.8304,0.8676,0.55856,1.26007,0.85237,1.44844,0.00406,0.00406,0.00406
62,10292,1.07014,0.91611,1.45214,0.82246,0.81376,0.85327,0.55653,1.25813,0.86278,1.46347,0.003961,0.003961,0.003961
63,10461.3,1.06194,0.92199,1.44736,0.83654,0.80901,0.86137,0.55622,1.28119,0.82964,1.49168,0.003862,0.003862,0.003862
64,10627.3,1.04441,0.88634,1.43851,0.82487,0.81636,0.8623,0.55734,1.25457,0.84089,1.46634,0.003763,0.003763,0.003763
65,10791,1.03955,0.88001,1.42144,0.84255,0.82051,0.86977,0.56435,1.26641,0.83829,1.46981,0.003664,0.003664,0.003664
66,10959.9,1.05451,0.89059,1.43782,0.84672,0.82015,0.87476,0.57223,1.24888,0.82651,1.44344,0.003565,0.003565,0.003565
67,11127.5,1.0333,0.87712,1.4233,0.85334,0.81675,0.87654,0.57043,1.25582,0.83912,1.46236,0.003466,0.003466,0.003466
68,11241.8,1.02354,0.88458,1.41496,0.84414,0.81754,0.8747,0.56849,1.24888,0.83748,1.45837,0.003367,0.003367,0.003367
69,11405.8,1.01799,0.86582,1.41237,0.85701,0.81931,0.8727,0.56727,1.25754,0.82685,1.46412,0.003268,0.003268,0.003268
70,11572.6,1.02377,0.85923,1.41728,0.85791,0.81593,0.87433,0.57068,1.24312,0.80349,1.45484,0.003169,0.003169,0.003169
71,11741,1.00854,0.8388,1.4133,0.84948,0.81561,0.87163,0.56838,1.24882,0.80349,1.45342,0.00307,0.00307,0.00307
72,11906,1.01196,0.85209,1.41876,0.85507,0.83431,0.87788,0.57498,1.24232,0.80628,1.43729,0.002971,0.002971,0.002971
73,12074,0.99593,0.83096,1.38206,0.84044,0.83399,0.87618,0.57416,1.24903,0.78764,1.45162,0.002872,0.002872,0.002872
74,12241.8,1.00849,0.84689,1.39562,0.84935,0.83499,0.88118,0.57816,1.25436,0.78993,1.44803,0.002773,0.002773,0.002773
75,12410,0.99187,0.82189,1.38941,0.8798,0.81129,0.88558,0.5803,1.23599,0.77902,1.43426,0.002674,0.002674,0.002674
76,12578.1,0.9912,0.82967,1.39402,0.85256,0.8375,0.88034,0.5771,1.24172,0.78129,1.44371,0.002575,0.002575,0.002575
77,12742.6,0.98899,0.82038,1.39332,0.83433,0.83627,0.88216,0.57695,1.23597,0.79478,1.42846,0.002476,0.002476,0.002476
78,12907.8,0.98933,0.82641,1.39095,0.85445,0.82069,0.87729,0.58121,1.22458,0.78152,1.43208,0.002377,0.002377,0.002377
79,13074.1,0.98622,0.80628,1.38535,0.86181,0.83633,0.88275,0.58182,1.23302,0.77334,1.43894,0.002278,0.002278,0.002278
80,13240.4,0.9488,0.80282,1.36927,0.85112,0.8256,0.87613,0.58084,1.23826,0.7731,1.43859,0.002179,0.002179,0.002179
81,13410.2,0.96319,0.79079,1.36183,0.83519,0.84714,0.87873,0.58125,1.23353,0.78205,1.42917,0.00208,0.00208,0.00208
82,13579.6,0.96273,0.79393,1.37095,0.87066,0.82266,0.88267,0.58495,1.21912,0.77773,1.41219,0.001981,0.001981,0.001981
83,13744,0.95208,0.7777,1.3526,0.8505,0.83828,0.88439,0.58883,1.21554,0.76504,1.41734,0.001882,0.001882,0.001882
84,13913.4,0.93694,0.7719,1.34355,0.85968,0.83574,0.88952,0.59151,1.21869,0.76321,1.4179,0.001783,0.001783,0.001783
85,14080.9,0.93677,0.77382,1.34399,0.864,0.83308,0.8927,0.59137,1.21098,0.7515,1.41675,0.001684,0.001684,0.001684
86,14225.7,0.94902,0.76893,1.35839,0.85907,0.83997,0.89065,0.59261,1.21546,0.75353,1.42475,0.001585,0.001585,0.001585
87,14359.4,0.93609,0.76425,1.34736,0.87022,0.83687,0.89073,0.59262,1.21686,0.76345,1.42069,0.001486,0.001486,0.001486
88,14523.9,0.93762,0.75819,1.35002,0.85877,0.84192,0.89124,0.59145,1.22265,0.75793,1.42174,0.001387,0.001387,0.001387
89,14696.4,0.9251,0.74317,1.34562,0.85563,0.84064,0.89124,0.59417,1.21836,0.75866,1.41328,0.001288,0.001288,0.001288
90,14862,0.91626,0.74287,1.3324,0.86494,0.83781,0.89014,0.59345,1.22153,0.75231,1.41782,0.001189,0.001189,0.001189
91,15032.6,1.04676,0.68223,1.32281,0.85961,0.8444,0.88803,0.59217,1.22466,0.74128,1.42255,0.00109,0.00109,0.00109
92,15201.7,1.00812,0.64329,1.30011,0.84574,0.86141,0.89294,0.59912,1.22198,0.733,1.42428,0.000991,0.000991,0.000991
93,15368.2,1.00904,0.62737,1.29492,0.85808,0.85759,0.89587,0.60333,1.22136,0.72529,1.42098,0.000892,0.000892,0.000892
94,15535.8,0.99151,0.63263,1.2913,0.8582,0.85509,0.89664,0.60421,1.2145,0.71581,1.41388,0.000793,0.000793,0.000793
95,15703.8,1.00477,0.61998,1.29455,0.85617,0.85833,0.89588,0.60425,1.21233,0.71394,1.41104,0.000694,0.000694,0.000694
96,15870.6,0.98562,0.61315,1.27228,0.85635,0.86612,0.89899,0.60629,1.21181,0.71441,1.41026,0.000595,0.000595,0.000595
97,16037.1,0.95564,0.5928,1.26237,0.8516,0.87066,0.89983,0.60834,1.21198,0.71641,1.40799,0.000496,0.000496,0.000496
98,16200.6,0.94647,0.58108,1.24784,0.85697,0.87083,0.90178,0.60928,1.20626,0.71831,1.40254,0.000397,0.000397,0.000397
99,16365.8,0.95028,0.57314,1.24424,0.86163,0.86424,0.90279,0.61147,1.20604,0.71594,1.40347,0.000298,0.000298,0.000298
100,16531,0.95162,0.5816,1.24923,0.85055,0.87622,0.90369,0.61316,1.20676,0.71543,1.40383,0.000199,0.000199,0.000199
