epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1630.82,1.10894,1.12875,1.44279,0.78378,0.66533,0.77453,0.46054,1.3578,4.76401,1.60461,0.006535,0.006535,0.006535
44,1668.48,1.11026,1.13551,1.44009,0.7573,0.72538,0.80011,0.48003,1.29758,2.43657,1.53426,0.0064525,0.0064525,0.0064525
45,1706.27,1.10209,1.11407,1.44451,0.78749,0.69339,0.7939,0.45786,1.2862,2.63374,1.54362,0.00637,0.00637,0.00637
46,1744.03,1.10605,1.10317,1.43378,0.80776,0.72417,0.78582,0.47424,1.36934,3.75031,1.61194,0.0062875,0.0062875,0.0062875
47,1781.74,1.08605,1.10506,1.42884,0.703,0.73525,0.77374,0.46966,1.27058,2.43339,1.52726,0.006205,0.006205,0.006205
48,1819.44,1.1025,1.10747,1.43881,0.76462,0.74215,0.80688,0.48375,1.24536,2.69673,1.54197,0.0061225,0.0061225,0.0061225
49,1857.26,1.09743,1.12458,1.43109,0.79242,0.75952,0.8064,0.49258,1.23503,3.4875,1.49635,0.00604,0.00604,0.00604
50,1895.07,1.088,1.10432,1.42215,0.81043,0.72823,0.80206,0.49539,1.294,3.43274,1.55621,0.0059575,0.0059575,0.0059575
51,1932.97,1.08006,1.08793,1.42315,0.78734,0.75952,0.82952,0.49338,1.27422,3.28847,1.55398,0.005875,0.005875,0.005875
52,1970.82,1.0917,1.09558,1.42785,0.81156,0.7495,0.79849,0.48598,1.22601,3.17586,1.51875,0.0057925,0.0057925,0.0057925
53,2008.64,1.09173,1.07574,1.42552,0.80336,0.76353,0.83373,0.50124,1.24898,3.38213,1.51823,0.00571,0.00571,0.00571
54,2046.54,1.07685,1.08625,1.408,0.72448,0.71667,0.77429,0.44231,1.36448,1.85224,1.6105,0.0056275,0.0056275,0.0056275
55,2084.31,1.08043,1.06736,1.42086,0.79138,0.74499,0.83724,0.52554,1.19112,2.8442,1.46829,0.005545,0.005545,0.005545
56,2121.97,1.06301,1.07715,1.41109,0.78808,0.6994,0.79798,0.49486,1.25851,2.1558,1.50949,0.0054625,0.0054625,0.0054625
57,2159.82,1.06922,1.08808,1.41587,0.79079,0.69138,0.78048,0.47531,1.28989,2.30316,1.53229,0.00538,0.00538,0.00538
58,2197.63,1.05342,1.03563,1.40459,0.83635,0.7495,0.83135,0.50635,1.23312,2.56693,1.47895,0.0052975,0.0052975,0.0052975
59,2235.44,1.06122,1.05137,1.41581,0.84666,0.73028,0.83182,0.51767,1.2632,2.52323,1.4999,0.005215,0.005215,0.005215
60,2273.26,1.05068,1.0387,1.39851,0.82906,0.77154,0.84927,0.52106,1.23331,2.90877,1.51509,0.0051325,0.0051325,0.0051325
61,2311.04,1.04711,1.0126,1.40367,0.82416,0.78156,0.83767,0.52214,1.25022,3.08853,1.50988,0.00505,0.00505,0.00505
62,2348.91,1.03837,1.01629,1.38723,0.85349,0.76954,0.84956,0.53254,1.25983,3.38124,1.50478,0.0049675,0.0049675,0.0049675
