epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9368.99,1.29621,1.31128,1.49386,0.78889,0.73034,0.81422,0.51886,1.223,1.04756,1.40316,0.007921,0.007921,0.007921
44,9585.92,1.28149,1.31011,1.47848,0.80854,0.72736,0.81708,0.5245,1.21292,1.03643,1.40307,0.0078715,0.0078715,0.0078715
45,9803.41,1.28951,1.30123,1.49572,0.79064,0.7511,0.81815,0.52311,1.22218,1.04675,1.39712,0.007822,0.007822,0.007822
46,10020.2,1.28416,1.28958,1.48978,0.79427,0.76482,0.8315,0.53101,1.21145,1.00381,1.40067,0.0077725,0.0077725,0.0077725
47,10237.1,1.28422,1.29378,1.48845,0.79749,0.76071,0.83165,0.53359,1.19998,1.01195,1.3836,0.007723,0.007723,0.007723
48,10454.1,1.26543,1.26014,1.47606,0.7954,0.76424,0.83269,0.53896,1.19368,0.99956,1.38042,0.0076735,0.0076735,0.0076735
49,10671.2,1.27404,1.27288,1.48239,0.78863,0.76111,0.8334,0.5373,1.20114,1.00052,1.38502,0.007624,0.007624,0.007624
50,10887.9,1.27967,1.27365,1.48127,0.79739,0.74481,0.82633,0.53584,1.19152,1.00437,1.37464,0.0075745,0.0075745,0.0075745
51,11105,1.26544,1.26522,1.47438,0.80972,0.7643,0.8363,0.54324,1.19337,0.98426,1.3717,0.007525,0.007525,0.007525
52,11321.9,1.2632,1.25104,1.4704,0.78926,0.76052,0.83575,0.54734,1.16811,0.9832,1.35846,0.0074755,0.0074755,0.0074755
53,11541.3,1.25409,1.24686,1.46608,0.79406,0.76505,0.83331,0.54562,1.18185,0.96759,1.36791,0.007426,0.007426,0.007426
54,11758.3,1.26028,1.23804,1.46493,0.81626,0.75947,0.83845,0.54301,1.179,0.96546,1.36778,0.0073765,0.0073765,0.0073765
55,11979.2,1.25672,1.23147,1.4591,0.80321,0.77353,0.83832,0.55007,1.17853,0.95716,1.36169,0.007327,0.007327,0.007327
56,12198.1,1.25406,1.23591,1.45849,0.81949,0.76106,0.84457,0.55219,1.17649,0.96536,1.36511,0.0072775,0.0072775,0.0072775
57,12415.9,1.26216,1.23831,1.4668,0.81974,0.78071,0.8513,0.55353,1.16989,0.9433,1.35166,0.007228,0.007228,0.007228
58,12633.7,1.25036,1.23565,1.46147,0.81012,0.78699,0.84855,0.55632,1.17849,0.93576,1.36411,0.0071785,0.0071785,0.0071785
59,12854.2,1.241,1.22628,1.4575,0.79334,0.78255,0.84665,0.55255,1.17822,0.94218,1.36508,0.007129,0.007129,0.007129
60,13071.5,1.24011,1.21489,1.45097,0.82751,0.76379,0.8489,0.55527,1.15802,0.93072,1.34661,0.0070795,0.0070795,0.0070795
61,13288.7,1.23787,1.21566,1.4571,0.81805,0.77407,0.84683,0.55502,1.15831,0.94116,1.34826,0.00703,0.00703,0.00703
