epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.7499,1.64261,1.95255,1.70604,0.17414,0.46355,0.1506,0.04745,2.54884,13.5359,3.09127,0.070123,0.00331967,0.00331967
2,83.9044,1.67617,1.78585,1.73992,0.57367,0.45594,0.48384,0.22401,1.9258,1.96737,1.98814,0.0400681,0.00659812,0.00659812
3,123.026,1.59026,1.64642,1.67687,0.53249,0.45337,0.44564,0.21305,1.98084,2.11491,2.12127,0.00995818,0.00982156,0.00982156
4,162.188,1.54029,1.58017,1.64264,0.60044,0.51993,0.51255,0.276,1.7732,2.62073,1.93853,0.0097525,0.0097525,0.0097525
5,201.671,1.50636,1.537,1.61325,0.55994,0.43377,0.4288,0.22419,1.84372,2.26151,1.91388,0.00967,0.00967,0.00967
6,240.908,1.43551,1.44812,1.5613,0.75922,0.59412,0.67823,0.36036,1.60153,1.53228,1.72156,0.0095875,0.0095875,0.0095875
7,280.129,1.42308,1.39805,1.54371,0.46937,0.44079,0.43387,0.23488,1.82141,2.12629,1.88791,0.009505,0.009505,0.009505
8,319.554,1.41025,1.39129,1.54085,0.57227,0.51606,0.56735,0.30551,1.67002,1.89424,1.78691,0.0094225,0.0094225,0.0094225
9,358.975,1.38896,1.33862,1.5161,0.56525,0.5428,0.53301,0.28194,1.80001,1.7712,1.88091,0.00934,0.00934,0.00934
10,398.498,1.37945,1.32862,1.5087,0.65883,0.56775,0.6422,0.34568,1.65536,1.49941,1.72095,0.0092575,0.0092575,0.0092575
11,437.948,1.34878,1.2993,1.49234,0.71197,0.6617,0.70978,0.39654,1.48925,1.45316,1.63188,0.009175,0.009175,0.009175
12,477.415,1.34708,1.28014,1.49601,0.67306,0.55152,0.59681,0.33576,1.6751,1.73143,1.79178,0.0090925,0.0090925,0.0090925
13,516.727,1.32696,1.27463,1.48063,0.72244,0.58329,0.65698,0.35876,1.59062,1.49443,1.66894,0.00901,0.00901,0.00901
14,556.185,1.3181,1.24468,1.47085,0.71148,0.65517,0.71799,0.42482,1.4346,1.40045,1.59954,0.0089275,0.0089275,0.0089275
15,595.594,1.31813,1.22047,1.45828,0.7602,0.6345,0.7331,0.41904,1.49757,1.33803,1.63353,0.008845,0.008845,0.008845
